Item;Group;EU;USA;Japan;China;Canada;Rest of Asia;Brazil;India;Mexico;Russia;Australia;Rest of Europe;Turkey;Indonesia;South Africa;Rest of Latin America;Rest of Africa;Rest of Middle East
Wheat;alc;993.2018552;30.56641699;0.013709673;53.09646206;60.61752415;119.2129599;0.513102158;0.376429464;7.21750001;37.86757239;34.19290985;36.40810718;41.44549554;0;0.187574603;2.584302959;26.03838076;8.56666009
Rice;alc;9.204542751;3.050997632;0.115727436;35.6539012;0;208.9053873;0.312277167;2.292928752;0.010258204;0.005487171;0.193308688;0.012651062;0.014624339;93.09815108;0;14.0783454;7.92477868;1.405689892
Maize;alc;166.2399891;1191.916109;0;494.4006644;4.009339519;29.41946356;15.72769336;3.392608479;2.321956195;2.12478032;0.09793135;23.0009439;4.472883936;21.5241912;1.957168325;26.85693461;2.89712107;0.631430682
Other cereals;alc;86.49368664;0.64770032;0.00700468;0.41861282;2.261479834;4.362541665;0.00700468;0.20823294;0;0.163155205;0.133412799;0.94649011;0;0;0.230412424;8.52049012;120.1084792;0.01569697
Roots & Pulses;alc;33.2034805;0.785117646;0.045241478;0.160669983;0.837057683;49.87168032;0.094621471;0.18393038;0.044736796;0.107676832;0.564127143;3.41314257;0.155098963;0.167977459;0;5.18936803;82.42855629;1.849514684
Sugar crops (primary);alc;59.90533079;0;0;0;0;4.318974224;0;0;0.068367383;0;0;0;0;0.4943639;0;7.212380373;3.312167127;0
Sugar & Sweetener & Molasse;alc;17.9285117;0.127152827;0.004004414;0.102185132;0;23.52552777;16.37224578;1.162192187;0.100303385;0.716651791;1.457585469;4.069889736;0.18424078;0.030315085;0.265816187;17.0260268;3.054004922;2.276472459
Fruit, vegetables, spices;alc;49.6921058;0.675172422;0;0.544233014;0;5.1766961;0.929320495;0.951281038;0.556505982;0;0.003954336;4.691927804;1.600346735;15.05853874;0.356968813;1.218885346;5.611169478;5.313393929
Alcohol, non-food;alc;632.0984831;118.586306;0;63.38529904;0.242500472;399.9850787;400.9185186;26.35441438;0.978211223;4.014622128;9.152298148;20.70727845;3.050626413;127.7954635;46.71640975;101.5492098;101.1842158;13.61322908
Oil crops (primary);oil;86.07392181;19.17145442;0;54.37087389;36.47026209;137.020701;8.050714349;4.286720982;0.827036708;12.36153053;4.428270142;5.900915584;2.71831251;40.72771282;1.731340672;7.615010051;86.452871;1.704785852
Vegetable oil;oil;4509.392999;97.10280643;10.06809606;1097.967193;162.4284182;1260.591683;123.3234003;207.0733718;17.30368386;432.2404534;9.486215551;331.2277562;35.12208154;1146.146486;6.713687342;337.3973816;294.9297726;97.99334118
Oil cakes;oil;43.40603938;9.750542261;0;38.34104253;1.381551937;40.60941201;45.30241317;24.07515763;0;0.174798361;0.036585529;0.238553555;0;0;0;52.93123295;0.072937234;0.399357431
Tobacco;ind;84.36518942;13.96358691;0.241636652;155.0095972;0.84895665;9.004098392;92.28707988;28.5963632;0.288935551;0;0.038298133;2.776980608;13.42210668;11.87339207;0.603208884;24.42710569;112.2291066;0.849742722
Rubber;ind;0;0;0;60.71876723;0;707.2112977;1.954132196;17.99038333;0.359771953;0;0;0;0;549.6063395;0;5.933453908;210.337921;0
Other industrial crops;ind;218.5292403;345.5403855;0;441.8587475;0.635655217;575.8400608;81.05219469;672.1013914;5.442772918;6.866817161;29.66397164;14.90267747;87.06228945;7.181647741;0.938983112;47.10946368;412.2940774;11.87742306
Stimulants;nec;0;0;0;0.08589591;0;0.975441814;0.513839848;0.164082718;0.096365496;0;0;0;0;1.210670305;0;0.812870016;33.63026954;0.068687992
Ruminants, meat;animal;118.5258431;1.532583241;0;0.865666462;0.186515779;34.81548304;0.02425145;0.157733481;0.072481986;3.021537222;13.56139778;2.856661914;0;0;1.631687597;9.67702879;0.255064903;0.858091555
Dairy products;animal;645.2345177;83.38362089;1.473363249;0.166278695;25.76896107;14.06761112;0;0.576494448;0.542510142;55.64812933;8.240024739;32.28301376;0.628724141;0;0.005507988;0.678233793;0.632901799;2.626830143
Ruminants, fats;animal;113.4444469;45.6796709;0.721625666;1.184650647;3.9283108;3.498222903;0.016789465;1.485704577;0.269463401;26.26426802;46.32235835;3.732531446;0.230038379;0;0.131790152;2.663598033;0.952235666;0.453853384
Ruminants, hides and skins;animal;1083.897125;318.9045708;33.77358692;75.62164731;72.90692149;235.5165585;0.275952422;126.7239909;3.190584888;38.78684761;585.6765379;90.49853959;32.17134844;0;55.90523865;52.17762172;68.93889853;31.42199848
Monogastric, meat;animal;180.4425631;3.974860592;0;11.59948185;0.704397511;19.00388732;5.824509401;0;0.139709151;1.455885474;0.190204023;2.475889542;0.174680035;0;0.38165156;32.8574061;1.366300283;2.901634511
Monogastric, eggs;animal;22.07832711;0.018946865;0;21.9266676;0;10.82554421;0;0.012004607;0;0.327224587;0;19.01836237;0.041831157;0;0;0.064212943;0.498338717;0.204397444
Monogastric, fats;animal;379.3694362;25.92231306;2.968542032;25.42395603;6.51512321;9.104039063;2.540458959;0.27937427;1.082985837;33.06131511;3.234809481;10.72871869;0.397511635;2.425423897;0.179944891;7.255994792;1.493452374;0.333510452
Monogastric, hides and skins;animal;406.248132;1.913175371;0.786396533;76.47888804;0.204924066;20.57670485;5.910065125;0.571841986;0.789587869;4.006077842;0.990388353;5.831427269;0;2.338360355;0.334730083;4.485601192;4.072872024;0.025108751
