Group,Item,EU-28,EUR,AFR,NAM,LAM,ASI
Crop products,Wheat,993,116,35,91,10,207
Crop products,Rice,9,0,9,3,14,340
Crop products,Maize,166,30,5,1196,45,549
Crop products,Other cereals,86,1,120,3,9,5
Crop products,Oil crops,4639,820,490,326,593,4075
Crop products,Tobacco,84,16,114,15,117,205
Crop products,Rubber,0,0,210,0,8,1336
Crop products,Fibre crops,219,109,425,346,134,1727
Crop products,Other crops,161,15,138,2,50,106
Crop products,"Alcohol, non-food",632,28,162,119,503,627
Livestock products,Meat and fats,792,84,11,88,62,177
Livestock products,Milk and eggs,667,108,4,109,1,57
Livestock products,"Hides, skins, wool",1490,171,161,394,67,1159
