Group,Item,EU-28,Rest of Europe,Africa & Middle East,Northern America,Brazil,Rest of Latin America,Australia,China,India,Indonesia,Rest of Asia-Pacific
Crop products,Wheat,993.2018552,115.7211751,34.79261545,91.18394114,0.513102158,9.801802969,34.19290985,53.09646206,0.376429464,0,119.2266696
Crop products,Rice,9.204542751,0.032762572,9.330468572,3.050997632,0.312277167,14.0886036,0.193308688,35.6539012,2.292928752,93.09815108,209.0211147
Crop products,Maize,166.2399891,29.59860815,5.485720077,1195.925449,15.72769336,29.1788908,0.09793135,494.4006644,3.392608479,21.5241912,29.41946356
Crop products,Other cereals,86.49368664,1.109645316,120.3545886,2.909180154,0.00700468,8.52049012,0.133412799,0.41861282,0.20823294,0,4.369546346
Crop products,Roots & pulses,33.2034805,3.675918365,84.27807097,1.622175329,0.094621471,5.234104827,0.564127143,0.160669983,0.18393038,0.167977459,49.9169218
Crop products,Sugar & sweeteners,77.83384249,4.970782306,8.908460695,0.127152827,16.37224578,24.40707794,1.457585469,0.102185132,1.162192187,0.524678985,27.84850641
Crop products,Oil crops (incl. oils & cakes),4638.87296,819.9844017,489.9980933,326.3050354,176.6765279,416.0743451,13.95107122,1190.679109,235.4352504,1186.874199,1448.289892
Crop products,"Fruit, vegetables, spices",49.6921058,6.292274539,11.28153222,0.675172422,0.929320495,1.775391327,0.003954336,0.544233014,0.951281038,15.05853874,5.1766961
Crop products,"Coffee, tea, cocoa",0,0,33.69895753,0,0.513839848,0.909235512,0,0.08589591,0.164082718,1.210670305,0.975441814
Crop products,Tobacco,84.36518942,16.19908729,113.6820582,14.81254356,92.28707988,24.71604124,0.038298133,155.0095972,28.5963632,11.87339207,9.245735044
Crop products,Rubber,0,0,210.337921,0,1.954132196,6.293225861,0,60.71876723,17.99038333,549.6063395,707.2112977
Crop products,Fibre crops,218.5292403,108.8317841,425.1104836,346.1760407,81.05219469,52.55223659,29.66397164,441.8587475,672.1013914,7.181647741,575.8400608
Crop products,"Alcohol, non-food",632.0984831,27.77252699,161.5138546,118.8288065,400.9185186,102.527421,9.152298148,63.38529904,26.35441438,127.7954635,399.9850787
Livestock products,Meat and fats,791.7822893,84.39903746,10.93921733,88.4437751,8.406009274,54.01866809,63.30876964,39.07375499,1.922812329,2.425423897,70.11180003
Livestock products,Milk and eggs,667.3128448,107.9472853,3.967976091,109.1715288,0,1.284956879,8.240024739,22.09294629,0.588499055,0,26.36651859
Livestock products,"Hides, skins, wool",1490.145257,171.2942408,160.6988465,393.9295917,6.186017546,60.64339566,586.6669262,152.1005354,127.2958329,2.338360355,290.6532468
